CODLOC,Y,X
1020,-34.8345936846257,-56.200727322284
2220,-30.4258382141978,-56.486918367144
2521,-30.2598108909572,-57.5982071220847
2522,-30.4311049027931,-57.4381926029819
2621,-30.7201826046934,-57.3294384174427
2721,-30.2982765943147,-56.9700396303614
2724,-30.2129075011816,-57.6035499447903
2725,-30.9971265091273,-56.8707206693562
2822,-30.2903377285409,-57.5996522281536
2823,-30.2317217864187,-57.5696818917905
2824,-30.6117679212607,-56.903958943248
2826,-30.4330806221927,-56.7857065742732
2827,-30.8464187195955,-56.3363422475474
2828,-30.2464858254954,-57.5825901085712
2830,-30.4340892188964,-56.4598061092602
2831,-30.2737541557895,-57.570240326154
2833,-30.3744742964887,-57.6634291406913
2925,-30.3868239909946,-57.6154454925438
2927,-30.7872658648082,-56.7821560461615
2934,-30.7553756455777,-57.0544741381507
2945,-30.4764870790462,-57.1253197913866
2952,-30.7024650972149,-56.1646678500574
2957,-30.2977782085609,-56.8212838171832
2958,-30.4267005003015,-56.4659011814524
2959,-30.5839341314498,-57.6787223048791
2961,-30.4269389797142,-56.4756820194507
2962,-30.4267061142886,-56.4711698394077
2963,-30.3301232223196,-57.6201412959718
3221,-34.719217225101,-56.2156775438991
3320,-34.5248820942228,-56.2813475779411
3321,-34.7543492900926,-56.2279002360661
3322,-34.7236328482094,-55.9665789427733
3323,-34.4602073718199,-56.3851873929597
3324,-34.6667768245786,-55.59875644374
3325,-34.7619755678424,-55.9577841242517
3326,-34.819219033654,-55.9885340973924
3327,-34.7629601387724,-55.9725227951999
3328,-34.8165678132404,-55.9903146136386
3329,-34.6700228193545,-56.3653828012667
3421,-34.674393398293,-56.2203914597552
3422,-34.2922768694478,-55.9555231698779
3521,-34.7524074132676,-55.9952028533258
3523,-34.8188737047671,-56.0230177901469
3524,-34.7359675551501,-56.0328389580475
3525,-34.8579365483053,-56.0419007683359
3526,-34.498186447412,-56.0390521485532
3527,-34.6519164057505,-56.0642583312433
3528,-34.343287936038,-55.7654323254786
3529,-34.7360886226584,-56.1079080770033
3530,-34.7588503675184,-56.0735906348025
3621,-34.7628947433303,-55.7583546964817
3622,-34.7416536651721,-55.762304356759
3624,-34.6079229206176,-56.3626912563884
3625,-34.6920800745005,-55.8967386932409
3626,-34.4871471939516,-55.627423567715
3627,-34.7549731942069,-55.717134910497
3628,-34.4398093410615,-55.9619579216873
3629,-34.544075873782,-55.8718567767809
3630,-34.684844256749,-55.7020761380032
3631,-34.7404228774821,-56.0902230376414
3632,-34.4966620093399,-55.5645705364636
3633,-34.8408402179515,-55.9939326049621
3634,-34.7156847041556,-56.0504367472294
3721,-34.5206705233937,-56.3919585244314
3722,-34.8700934828525,-56.0268268371803
3723,-34.5955356234332,-56.2536170603473
3724,-34.7488941488861,-55.6859172134912
3725,-34.7341471316434,-55.6834517889584
3726,-34.767232823533,-55.7402237029567
3727,-34.8569969268,-56.0082505817605
3729,-34.774706021355,-55.8401174189733
3730,-34.4505356346763,-56.0824872291136
3731,-34.8332134472996,-56.0321468749223
3732,-34.8274587148675,-55.9671463147693
3733,-34.7910757365529,-55.994688730028
3823,-34.3788866915326,-55.9507784027115
3825,-34.7533346711897,-56.2417276113616
3826,-34.7640690392209,-55.6592887491883
3827,-34.7602135856143,-56.2382296126129
3828,-34.795768529424,-55.9050139098816
3829,-34.5243525666475,-55.6251920858943
3830,-34.7752119746355,-55.8560161859905
3831,-34.8356896363448,-55.985976067077
3832,-34.6999560416784,-55.929318400551
3833,-34.6202693196401,-56.2607023069758
3834,-34.7710020822188,-55.5854431465866
3835,-34.8463118694738,-55.9978436482294
3836,-34.6615844898085,-55.992755723908
3837,-34.6426264291075,-56.2406343233252
3838,-34.7483185809283,-56.234493601877
3839,-34.7168126419106,-56.0740807359308
3840,-34.5662651351166,-55.7514202847277
