CODLOC,sexo,tramo,personas,sexo_label,tramo_label
1020,1,0-4,41841,varones,0-4
1020,1,5-9,42268,varones,5-9
1020,1,10-14,43231,varones,10-14
1020,1,15-19,47064,varones,15-19
1020,1,20-24,50764,varones,20-24
1020,1,25-29,47298,varones,25-29
1020,1,30-34,46474,varones,30-34
1020,1,35-39,42317,varones,35-39
1020,1,40-44,37090,varones,40-44
1020,1,45-49,36495,varones,45-49
1020,1,50-54,36490,varones,50-54
1020,1,55-59,31977,varones,55-59
1020,1,60-64,26140,varones,60-64
1020,1,65-69,22075,varones,65-69
1020,1,70-74,18068,varones,70-74
1020,1,75-79,14761,varones,75-79
1020,1,80-84,10633,varones,80-84
1020,1,85-89,4947,varones,85-89
1020,1,90-94,1543,varones,90-94
1020,1,+95,305,varones,+95
1020,2,0-4,39636,mujeres,0-4
1020,2,5-9,40420,mujeres,5-9
1020,2,10-14,41918,mujeres,10-14
1020,2,15-19,46479,mujeres,15-19
1020,2,20-24,55071,mujeres,20-24
1020,2,25-29,50608,mujeres,25-29
1020,2,30-34,49708,mujeres,30-34
1020,2,35-39,45799,mujeres,35-39
1020,2,40-44,40996,mujeres,40-44
1020,2,45-49,41491,mujeres,45-49
1020,2,50-54,43191,mujeres,50-54
1020,2,55-59,38936,mujeres,55-59
1020,2,60-64,33929,mujeres,60-64
1020,2,65-69,31531,mujeres,65-69
1020,2,70-74,28588,mujeres,70-74
1020,2,75-79,26435,mujeres,75-79
1020,2,80-84,22404,mujeres,80-84
1020,2,85-89,12916,mujeres,85-89
1020,2,90-94,5203,mujeres,90-94
1020,2,+95,1605,mujeres,+95
10320,1,0-4,2290,varones,0-4
10320,1,5-9,2438,varones,5-9
10320,1,10-14,2648,varones,10-14
10320,1,15-19,2698,varones,15-19
10320,1,20-24,2573,varones,20-24
10320,1,25-29,2569,varones,25-29
10320,1,30-34,2400,varones,30-34
10320,1,35-39,2217,varones,35-39
10320,1,40-44,2059,varones,40-44
10320,1,45-49,1881,varones,45-49
10320,1,50-54,1804,varones,50-54
10320,1,55-59,1351,varones,55-59
10320,1,60-64,1193,varones,60-64
10320,1,65-69,909,varones,65-69
10320,1,70-74,673,varones,70-74
10320,1,75-79,424,varones,75-79
10320,1,80-84,274,varones,80-84
10320,1,85-89,134,varones,85-89
10320,1,90-94,30,varones,90-94
10320,1,+95,10,varones,+95
10320,2,0-4,2177,mujeres,0-4
10320,2,5-9,2393,mujeres,5-9
10320,2,10-14,2404,mujeres,10-14
10320,2,15-19,2671,mujeres,15-19
10320,2,20-24,2574,mujeres,20-24
10320,2,25-29,2505,mujeres,25-29
10320,2,30-34,2412,mujeres,30-34
10320,2,35-39,2277,mujeres,35-39
10320,2,40-44,2065,mujeres,40-44
10320,2,45-49,1978,mujeres,45-49
10320,2,50-54,1880,mujeres,50-54
10320,2,55-59,1460,mujeres,55-59
10320,2,60-64,1441,mujeres,60-64
10320,2,65-69,1147,mujeres,65-69
10320,2,70-74,961,mujeres,70-74
10320,2,75-79,704,mujeres,75-79
10320,2,80-84,569,mujeres,80-84
10320,2,85-89,263,mujeres,85-89
10320,2,90-94,96,mujeres,90-94
10320,2,+95,38,mujeres,+95
10321,1,0-4,911,varones,0-4
