DPTO,LOCALIDAD,CODLOC,NOMBDEPTO,NOMBLOC
"2","220","2220",ARTIGAS,ARTIGAS
"2","521","2521",ARTIGAS,BELLA UNION
"2","522","2522",ARTIGAS,TOMAS GOMENSORO
"2","621","2621",ARTIGAS,BALTASAR BRUM
"2","721","2721",ARTIGAS,BERNABE RIVERA
"2","724","2724",ARTIGAS,FRANQUIA
"2","725","2725",ARTIGAS,SEQUEIRA
"2","822","2822",ARTIGAS,CORONADO
"2","823","2823",ARTIGAS,CUAREIM
"2","824","2824",ARTIGAS,CUARO
"2","826","2826",ARTIGAS,JAVIER DE VIANA
"2","827","2827",ARTIGAS,LA BOLSA
"2","828","2828",ARTIGAS,LAS PIEDRAS
"2","830","2830",ARTIGAS,PINTADITO
"2","831","2831",ARTIGAS,PORT. DE HIERRO Y CAMPODONICO
"2","833","2833",ARTIGAS,MONES QUINTELA
"2","925","2925",ARTIGAS,CAINSA
"2","927","2927",ARTIGAS,PASO CAMPAMENTO
"2","934","2934",ARTIGAS,DIEGO LAMAS
"2","945","2945",ARTIGAS,PASO FARIAS
"2","952","2952",ARTIGAS,RINCON DE PACHECO
"2","957","2957",ARTIGAS,TOPADOR
"2","958","2958",ARTIGAS,CERRO EJIDO
"2","959","2959",ARTIGAS,COLONIA PALMA
"2","961","2961",ARTIGAS,CERRO SIGNORELLI (EL MIRADOR)
"2","962","2962",ARTIGAS,CERRO SAN EUGENIO
"2","963","2963",ARTIGAS,CALNU
"3","221","3221",CANELONES,LAS PIEDRAS
"3","320","3320",CANELONES,CANELONES
"3","321","3321",CANELONES,LA PAZ
"3","322","3322",CANELONES,PANDO
"3","323","3323",CANELONES,SANTA LUCIA
"3","324","3324",CANELONES,PIEDRAS DE AFILAR
"3","325","3325",CANELONES,CUMBRES DE CARRASCO
"3","326","3326",CANELONES,HARAS DEL LAGO
"3","327","3327",CANELONES,QUINTA LOS HORNEROS
"3","328","3328",CANELONES,LAS HIGUERITAS
"3","329","3329",CANELONES,SOFIA SANTOS
"3","421","3421",CANELONES,PROGRESO
"3","422","3422",CANELONES,SAN RAMON
"3","521","3521",CANELONES,BARROS BLANCOS
"3","523","3523",CANELONES,COLONIA NICOLICH
"3","524","3524",CANELONES,JOAQUIN SUAREZ
"3","525","3525",CANELONES,PASO CARRASCO
"3","526","3526",CANELONES,SANTA ROSA
"3","527","3527",CANELONES,SAUCE
"3","528","3528",CANELONES,TALA
"3","529","3529",CANELONES,VILLA CRESPO Y SAN ANDRES
"3","530","3530",CANELONES,FRACC. CNO. ANDALUZ Y R.84
"3","621","3621",CANELONES,ATLANTIDA
"3","622","3622",CANELONES,ESTACION ATLANTIDA
"3","624","3624",CANELONES,CERRILLOS
"3","625","3625",CANELONES,EMPALME OLMOS
"3","626","3626",CANELONES,MIGUES
"3","627","3627",CANELONES,PARQUE DEL PLATA
"3","628","3628",CANELONES,SAN BAUTISTA
"3","629","3629",CANELONES,SAN JACINTO
"3","630","3630",CANELONES,DR. FRANCISCO SOCA
"3","631","3631",CANELONES,TOLEDO
"3","632","3632",CANELONES,MONTES
"3","633","3633",CANELONES,SAN JOSE DE CARRASCO
"3","634","3634",CANELONES,FRACC. SOBRE RUTA 74
"3","721","3721",CANELONES,AGUAS CORRIENTES
"3","722","3722",CANELONES,BARRA DE CARRASCO
"3","723","3723",CANELONES,JUANICO
"3","724","3724",CANELONES,LA FLORESTA
"3","725","3725",CANELONES,ESTACION LA FLORESTA
"3","726","3726",CANELONES,LAS TOSCAS
"3","727","3727",CANELONES,PARQUE CARRASCO
"3","729","3729",CANELONES,SALINAS
"3","730","3730",CANELONES,SAN ANTONIO
"3","731","3731",CANELONES,AEROPUERTO INTERNACIONAL DE CARRASCO
"3","732","3732",CANELONES,SOLYMAR
"3","733","3733",CANELONES,VILLA AEROPARQUE
"3","823","3823",CANELONES,CASTELLANOS
"3","825","3825",CANELONES,BARRIO COPOLA
"3","826","3826",CANELONES,COSTA AZUL
"3","827","3827",CANELONES,COSTA Y GUILLAMON
"3","828","3828",CANELONES,EL PINAR
"3","829","3829",CANELONES,ESTACION MIGUES
"3","830","3830",CANELONES,PINAMAR - PINEPARK
"3","831","3831",CANELONES,LAGOMAR
"3","832","3832",CANELONES,OLMOS
"3","833","3833",CANELONES,PARADA CABRERA
"3","834","3834",CANELONES,SAN LUIS
"3","835","3835",CANELONES,SHANGRILA
"3","836","3836",CANELONES,TOTORAL DEL SAUCE
"3","837","3837",CANELONES,VILLA FELICIDAD
"3","838","3838",CANELONES,VILLA PAZ S.A.
"3","839","3839",CANELONES,VILLA SAN JOSE
"3","840","3840",CANELONES,ESTACION TAPIA
"3","880","3880",CANELONES,VILLA SAN FELIPE
"3","881","3881",CANELONES,VILLA HADITA
"3","882","3882",CANELONES,PASO DE PACHE
"3","910","3910",CANELONES,CITY GOLF
"3","911","3911",CANELONES,VIEJO MOLINO SAN BERNARDO
"3","912","3912",CANELONES,ESTANQUE DE PANDO
"3","913","3913",CANELONES,JARDINES DE PANDO
"3","914","3914",CANELONES,PASO ESPINOSA
"3","921","3921",CANELONES,ARAMINDA
"3","922","3922",CANELONES,ARGENTINO
"3","925","3925",CANELONES,BELLO HORIZONTE
"3","926","3926",CANELONES,BIARRITZ
"3","927","3927",CANELONES,BOLIVAR
"3","928","3928",CANELONES,CAMPO MILITAR
"3","929","3929",CANELONES,CAPILLA DE CELLA
"3","934","3934",CANELONES,CRUZ DE LOS CAMINOS
"3","935","3935",CANELONES,CUCHILLA ALTA
"3","939","3939",CANELONES,EL BOSQUE
"3","942","3942",CANELONES,ESTACION PEDRERA
"3","943","3943",CANELONES,FORTIN DE SANTA ROSA
"3","944","3944",CANELONES,FRACC. PROGRESO
"3","945","3945",CANELONES,INSTITUTO ADVENTISTA
"3","946","3946",CANELONES,JAUREGUIBERRY
"3","948","3948",CANELONES,LA LUCHA
"3","949","3949",CANELONES,LA MONTAÑESA
"3","953","3953",CANELONES,LOMAS DE SOLYMAR
"3","956","3956",CANELONES,LOS TITANES
"3","957","3957",CANELONES,MARINDIA
"3","959","3959",CANELONES,NEPTUNIA
"3","962","3962",CANELONES,PASO DE LA CADENA
"3","966","3966",CANELONES,PASO PALOMEQUE
"3","968","3968",CANELONES,PIEDRA DEL TORO
"3","969","3969",CANELONES,ESTACION PIEDRAS DE AFILAR
"3","970","3970",CANELONES,EL GALEON
"3","974","3974",CANELONES,SANTA ANA
"3","975","3975",CANELONES,SANTA LUCIA DEL ESTE
"3","978","3978",CANELONES,SEIS HERMANOS
"3","979","3979",CANELONES,VILLA AREJO
"3","980","3980",CANELONES,VILLA ARGENTINA
"3","984","3984",CANELONES,VILLA PORVENIR
"3","985","3985",CANELONES,LA TUNA
"3","986","3986",CANELONES,GUAZU - VIRA
"3","987","3987",CANELONES,COLINAS DE SOLYMAR
"3","988","3988",CANELONES,BARRIO REMANSO
"3","989","3989",CANELONES,VILLA EL TATO
"3","990","3990",CANELONES,VILLA SAN CONO
"3","991","3991",CANELONES,VILLA JUANA
"3","992","3992",CANELONES,COLINAS DE CARRASCO
"3","993","3993",CANELONES,LOMAS DE CARRASCO
"3","994","3994",CANELONES,CARMEL
"3","995","3995",CANELONES,LA ASUNCION
"3","996","3996",CANELONES,QUINTAS DEL BOSQUE
"3","997","3997",CANELONES,ALTOS DE LA TAHONA
"4","220","4220",CERRO LARGO,MELO
"4","521","4521",CERRO LARGO,FRAILE MUERTO
"4","522","4522",CERRO LARGO,RIO BRANCO
"4","621","4621",CERRO LARGO,TUPAMBAE
"4","721","4721",CERRO LARGO,ISIDORO NOBLIA
"4","821","4821",CERRO LARGO,ACEGUA
"4","822","4822",CERRO LARGO,BAÑADO DE MEDINA
"4","823","4823",CERRO LARGO,CENTURION
"4","824","4824",CERRO LARGO,CERRO DE LAS CUENTAS
"4","825","4825",CERRO LARGO,HIPODROMO
"4","827","4827",CERRO LARGO,PLACIDO ROSAS
"4","828","4828",CERRO LARGO,TOLEDO
"4","829","4829",CERRO LARGO,TRES ISLAS
"4","830","4830",CERRO LARGO,POBLADO URUGUAY
"4","923","4923",CERRO LARGO,ARBOLITO
"4","924","4924",CERRO LARGO,AREVALO
"4","930","4930",CERRO LARGO,CASERIO LAS CAÑAS
"4","940","4940",CERRO LARGO,ESPERANZA
"4","943","4943",CERRO LARGO,GETULIO VARGAS
"4","948","4948",CERRO LARGO,LA PEDRERA
"4","949","4949",CERRO LARGO,LAGO MERIN
"4","952","4952",CERRO LARGO,MANGRULLO
"4","956","4956",CERRO LARGO,NANDO
"4","966","4966",CERRO LARGO,QUEBRACHO
